insee_c,libgeo,dep,reg,loyer_petit,revenu_menage_proxy,revenu_menage_d1,effort_median_petit,effort_d1_petit,fiable_loyer_petit,loyer_familial,effort_median_familial,effort_d1_familial,fiable_loyer_familial,prix_m2_tous,prix_m2_appart,n_ventes_tous,surface_financable,categorie_surface,fiable_prix,tension_2025,echec_loc_med,echec_loc_d1,echec_achat,echec_social,n_legs_dispo,triple_peine_median,triple_peine_d1
76566,Sainte-Austreberthe,76,28,478.656,37696,,15.2374,,True,636.869,20.2738,,True,2241.15,,10,84.1707,Correct,True,4.74,False,,False,False,3,0,
76567,Sainte-Beuve-en-Rivière,76,28,445.163,35571,,15.0177,,True,618.215,20.8557,,True,1777.78,,3,100.128,Confortable,False,4.74,False,,,False,2,,
76568,Saint-Clair-sur-les-Monts,76,28,513.969,42294.4,,14.5826,,True,610.236,17.3139,,True,2367.5,,14,89.3985,Correct,True,4.74,False,,False,False,3,0,
76569,Sainte-Colombe,76,28,485.818,37633.2,,15.4912,,True,643.246,20.511,,True,1943.73,,9,96.8886,Confortable,False,4.74,False,,,False,2,,
76570,Saint-Crespin,76,28,469.308,39288.6,,14.3342,,True,636.229,19.4325,,True,2672.15,,4,73.5772,Correct,False,4.74,False,,,False,2,,
76571,Sainte-Croix-sur-Buchy,76,28,457.45,42510.2,,12.9132,,True,713.373,20.1375,,True,1754.97,,17,121.216,Confortable,True,4.74,False,,False,False,3,0,
76572,Saint-Denis-d'Aclon,76,28,460.112,28516.3,,19.3621,,True,643.246,27.0686,,True,8717.08,9627.91,66,16.3704,Très contraint,True,4.74,False,,True,False,3,0,
76573,Saint-Denis-le-Thiboult,76,28,495.226,40816.6,,14.5596,,True,720.51,21.1829,,True,2097.03,,10,97.4021,Confortable,True,4.74,False,,False,False,3,0,
76574,Saint-Denis-sur-Scie,76,28,469.308,40537.8,,13.8925,,True,636.229,18.8336,,True,2119.4,,10,95.7159,Confortable,True,4.74,False,,False,False,3,0,
76575,Saint-Étienne-du-Rouvray,76,28,530.131,30950.1,16596.2,20.5543,38.3315,True,755.932,29.3091,54.6582,False,2137.68,6918.88,290,72.453,Correct,True,4.74,,,False,False,2,,
76576,Saint-Eustache-la-Forêt,76,28,434.139,36524.3,,14.2636,,True,661.259,21.7256,,True,2369.43,,48,77.1391,Correct,True,4.74,False,,False,False,3,0,
76577,Sainte-Foy,76,28,469.308,41524.3,,13.5624,,True,698.249,20.1785,,True,2021.26,,15,102.805,Confortable,True,4.74,False,,False,False,3,0,
76578,Sainte-Geneviève,76,28,457.579,32168.9,,17.0691,,True,618.215,23.0614,,True,1682.69,,4,95.6684,Confortable,False,4.74,False,,,False,2,,
